scope_type,scope_value,scope_label,model_id,model_label,template_name,template_label,accuracy_pct
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,86.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,87.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,87.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,87.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,87.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,94.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,89.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,88.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,86.66666666666667
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,91.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,87.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,93.33333333333333
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,92.0
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
dataset,arc_challenge,ARC-Challenge,openai/gpt-4o-mini,GPT-4o-mini,minimal_instruction,T1 Minimal,90.66666666666666
